,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
72,Pacific Grove,36.6177,-121.9166,61.5,75,62,13.69,US,1595624400
73,Dikson,73.5069,80.5464,43.74,93,13,9.98,RU,1595624400
74,Lakkí,37.1333,26.85,79.05,75,0,16.17,GR,1595624400
75,Albany,42.6001,-73.9662,82.72,46,77,4.38,US,1595624400
76,Omboué,-1.5746,9.2618,73.87,79,34,8.5,GA,1595624400
77,Avarua,-21.2078,-159.775,72.82,82,57,16.91,CK,1595624400
78,Shelburne,44.0787,-80.2041,79.03,52,33,1.14,CA,1595624400
79,Butaritari,3.0707,172.7902,82.4,78,7,17.02,KI,1595624400
80,Jiuquan,39.7432,98.5174,69.53,30,0,8.93,CN,1595624400
81,Sanguéya,10.7,-14.3667,76.59,92,98,3.74,GN,1595624400
82,Yangi Marg`ilon,40.4272,71.7189,78.69,43,37,4.83,UZ,1595624400
83,La Rioja,42.25,-2.5,67.5,63,13,3.71,ES,1595624400
84,Cape Town,-33.9258,18.4232,61.68,48,0,2.98,ZA,1595624400
85,Chernenko,44.365,39.3103,68.09,55,27,5.68,RU,1595624400
86,Ocampo,21.65,-101.5,76.35,42,59,8.55,MX,1595624400
87,Barra do Corda,-5.5,-45.25,90.05,36,3,2.66,BR,1595624400
88,Tranby,59.8167,10.25,59.05,68,16,3.06,NO,1595624400
89,Saskylakh,71.9167,114.0833,45.84,88,99,9.42,RU,1595624400
90,Nome,64.5011,-165.4064,54.25,67,80,6.55,US,1595624400
91,Jamestown,42.097,-79.2353,76.53,71,46,8.7,US,1595624400
92,Constitución,-35.3333,-72.4167,52.14,65,29,5.48,CL,1595624400
93,Manche,49.0,-1.1667,65.44,78,86,4.27,FR,1595624400
94,Stephenville,32.2207,-98.2023,93.52,38,55,12.77,US,1595624400
95,Kahului,20.8947,-156.47,81.39,59,11,11.14,US,1595624400
96,Sfântu Gheorghe,45.8667,25.7833,64.98,81,65,3.36,RO,1595624400
97,Yellowknife,62.456,-114.3525,53.91,83,95,6.76,CA,1595624400
98,Bac Lieu,9.285,105.7244,78.28,81,100,1.81,VN,1595624400
99,Dingle,10.9995,122.6711,75.9,85,98,2.1,PH,1595624400
100,Ponta do Sol,32.6667,-17.1,73.36,55,10,3.65,PT,1595624400
101,Atuona,-9.8,-139.0333,79.18,79,31,20.71,PF,1595624400
102,Câmara de Lobos,32.6333,-16.9667,73.2,57,10,4.83,PT,1595624400
103,Moussoro,13.6408,16.4901,88.83,46,10,7.23,TD,1595624400
104,Tiksi,71.6872,128.8694,62.87,66,14,9.62,RU,1595624400
105,Alice Springs,-23.7,133.8833,42.75,65,0,6.53,AU,1595624400
106,Moreira Sales,-24.0622,-53.0069,75.56,49,8,8.52,BR,1595624400
107,Koungou,-12.7336,45.2042,77.68,67,72,26.06,YT,1595624400
108,Tuatapere,-46.1333,167.6833,46.53,83,74,7.49,NZ,1595624400
109,Awjilah,29.1081,21.2869,83.3,40,0,16.6,LY,1595624400
110,Thompson,55.7435,-97.8558,69.51,90,95,5.21,CA,1595624400
111,Flinders,-34.5833,150.8552,53.37,85,69,5.86,AU,1595624400
112,Cabo San Lucas,22.8909,-109.9124,83.79,66,6,14.0,MX,1595624400
113,Brae,60.3964,-1.353,55.78,81,42,10.76,GB,1595624400
114,Christchurch,-43.5333,172.6333,40.69,86,0,2.86,NZ,1595624400
115,Harper,4.375,-7.7169,76.05,84,71,10.63,LR,1595624400
116,Khatanga,71.9667,102.5,40.21,93,100,12.24,RU,1595624400
117,Chuncheng,22.1731,111.7886,77.32,89,97,2.08,CN,1595624400
118,Mar del Plata,-38.0023,-57.5575,46.09,66,79,15.52,AR,1595624400
119,Mzimba,-11.9,33.6,52.86,75,7,8.25,MW,1595624400
120,Codrington,-38.2667,141.9667,40.5,88,25,3.83,AU,1595624400
121,Fortuna,40.5982,-124.1573,68.34,75,53,8.97,US,1595624400
122,Ciudad Bolivar,8.1222,-63.5497,87.35,61,64,6.53,VE,1595624400
123,Dunedin,-45.8742,170.5036,45.28,56,86,11.3,NZ,1595624400
124,Rzeszów,50.0413,21.999,65.7,71,91,6.62,PL,1595624400
125,Kailua,21.4022,-157.7394,79.12,75,78,16.22,US,1595624400
126,São Gabriel da Cachoeira,-0.1303,-67.0892,87.03,66,35,1.81,BR,1595624400
127,Linqiong,30.4159,103.4609,76.12,82,69,4.5,CN,1595624400
128,Atasū,48.6814,71.6433,72.99,41,38,11.43,KZ,1595624400
129,Saint George,37.1041,-113.5841,93.61,25,18,5.77,US,1595624400
130,Castro,-24.7911,-50.0119,67.15,62,0,5.3,BR,1595624400
131,Ilulissat,69.2167,-51.1,45.59,84,87,2.08,GL,1595624400
132,George Town,5.4112,100.3354,78.35,88,59,4.99,MY,1595624400
133,Barrow,71.2906,-156.7887,34.05,89,95,15.3,US,1595624400
134,Chui,-33.6971,-53.4616,48.65,91,100,7.63,UY,1595624400
135,Harrismith,-28.2728,29.1295,41.09,56,0,0.69,ZA,1595624400
136,Itarema,-2.9248,-39.9167,81.39,67,46,16.35,BR,1595624400
137,Abhā,18.2164,42.5053,69.06,72,87,7.54,SA,1595624400
138,Tuktoyaktuk,69.4541,-133.0374,57.76,64,58,2.59,CA,1595624400
139,Touros,-5.1989,-35.4608,79.84,73,38,17.0,BR,1595624400
140,Lüderitz,-26.6481,15.1594,70.99,24,0,4.34,NA,1595624400
141,Norman Wells,65.282,-126.8329,71.51,42,10,8.25,CA,1595624400
142,Port Elizabeth,-33.918,25.5701,65.62,52,0,8.7,ZA,1595624400
143,Ust'-Koksa,50.2696,85.6108,57.97,74,100,3.6,RU,1595624400
144,Kaitangata,-46.2817,169.8464,46.9,64,81,13.31,NZ,1595624400
145,Saint Paul Harbor,57.79,-152.4072,56.26,88,90,2.73,US,1595624400
146,Bambous Virieux,-20.3428,57.7575,68.23,60,66,22.44,MU,1595624400
147,Makkah al Mukarramah,21.4267,39.8261,92.12,34,80,2.01,SA,1595624400
148,Tura,25.5198,90.2201,74.44,97,100,5.21,IN,1595624400
149,Geraldton,-28.7667,114.6,58.91,66,0,15.93,AU,1595624400
150,Leningradskiy,69.3833,178.4167,45.45,75,90,11.16,RU,1595624400
151,Hilo,19.7297,-155.09,79.84,68,17,7.9,US,1595624400
152,Archidona,37.0965,-4.3887,84.79,47,0,3.4,ES,1595624400
153,Challans,46.8436,-1.8749,66.99,80,60,8.08,FR,1595624400
154,Broome,42.2506,-75.833,81.05,58,25,6.22,US,1595624400
155,Verkhoyansk,67.5447,133.385,75.96,43,97,2.01,RU,1595624400
156,Kiruna,67.8557,20.2251,52.25,87,97,1.57,SE,1595624400
157,Kirakira,-10.4544,161.9205,81.61,82,63,12.24,SB,1595624400
158,Puerto Escondido,15.85,-97.0667,87.75,60,64,7.54,MX,1595624400
159,Waipawa,-41.4122,175.5153,41.4,81,0,3.2,NZ,1595624400
160,Kemin,42.7846,75.6892,65.89,62,84,3.56,KG,1595624400
161,Bossier City,32.516,-93.7321,92.77,57,76,11.45,US,1595624400
162,São João da Barra,-21.6403,-41.0511,74.68,72,38,15.68,BR,1595624400
163,São Filipe,14.8961,-24.4956,77.34,78,82,4.99,CV,1595624400
164,Rognan,67.0953,15.3878,56.08,75,100,1.68,NO,1595624400
165,Sur,22.5667,59.5289,87.06,64,35,16.31,OM,1595624400
166,Krasnoarmeysk,51.0239,45.6969,64.22,48,50,6.69,RU,1595624400
167,Viedma,-40.8135,-62.9967,44.22,61,35,11.54,AR,1595624400
168,Kruisfontein,-34.0033,24.7314,62.4,28,0,9.08,ZA,1595624400
169,Shizunai-furukawachō,42.3339,142.3669,65.1,93,99,8.39,JP,1595624400
170,Bismarck,46.8083,-100.7837,82.8,52,49,4.59,US,1595624400
171,Plastun,44.7561,136.2939,58.68,93,100,3.56,RU,1595624400
172,Seoul,37.5683,126.9778,73.53,71,85,7.07,KR,1595624400
173,Bathsheba,13.2167,-59.5167,85.6,74,42,21.09,BB,1595624400
174,‘Āhuimanu,21.4447,-157.8378,79.74,73,85,14.34,US,1595624400
175,Arrondissement d'Ajaccio,42.0,8.9167,72.14,75,8,0.76,FR,1595624400
176,Atikokan,48.7555,-91.6216,82.65,60,19,13.69,CA,1595624400
177,Okoneshnikovo,54.8377,75.0834,59.31,72,92,6.55,RU,1595624400
178,Saint Anthony,45.0205,-93.218,90.84,54,8,13.13,US,1595624400
179,Cockburn Town,21.4612,-71.1419,84.07,77,72,18.57,TC,1595624400
180,Port Hardy,50.6996,-127.4199,61.74,67,82,15.03,CA,1595624400
181,Portel,-1.9356,-50.8211,87.35,58,59,3.15,BR,1595624400
182,Hofn,64.2539,-15.2082,53.82,54,56,5.88,IS,1595624400
183,Tabou,4.423,-7.3528,75.97,85,61,8.88,CI,1595624400
184,Anadyr,64.75,177.4833,57.02,69,85,16.08,RU,1595624400
185,Buala,-8.145,159.5921,82.36,80,88,9.44,SB,1595624400
186,Marovoay,-16.1,46.6333,66.51,58,50,7.76,MG,1595624400
187,Wodonga,-36.1167,146.8833,38.1,88,72,4.41,AU,1595624400
188,Tornio,65.8481,24.1466,58.42,87,99,9.37,FI,1595624400
189,Kathmandu,27.7167,85.3167,68.9,95,86,0.98,NP,1595624400
190,San Patricio,19.2167,-104.7,86.58,73,53,10.65,MX,1595624400
191,Damaturu,11.747,11.9608,79.52,65,3,9.69,NG,1595624400
192,Westport,41.1415,-73.3579,81.84,65,87,3.91,US,1595624400
193,San Cristobal,7.7669,-72.225,84.24,53,27,5.12,VE,1595624400
194,Coyhaique,-45.5752,-72.0662,39.54,85,95,9.24,CL,1595624400
195,Tekeli,44.83,78.8239,60.85,72,100,5.73,KZ,1595624400
196,Ji’an,27.1172,114.9793,81.88,77,97,2.62,CN,1595624400
197,Lompoc,34.6391,-120.4579,71.62,63,15,10.09,US,1595624400
198,Sitka,57.0531,-135.33,62.04,77,81,7.02,US,1595624400
199,Le Portel,50.7056,1.5757,63.23,90,73,11.83,FR,1595624400
200,San Quintín,30.4833,-115.95,70.12,63,48,11.9,MX,1595624400
201,Talnakh,69.4865,88.3972,51.66,67,17,7.9,RU,1595624400
202,Corowa,-36.0333,146.3833,37.9,85,88,5.44,AU,1595624400
203,Vouliagméni,37.8167,23.7833,81.88,44,0,10.45,GR,1595624400
204,Carutapera,-1.195,-46.02,83.32,69,63,9.13,BR,1595624400
205,Saint-Augustin,51.226,-58.6502,72.97,50,30,15.64,CA,1595624400
206,Puerto Ayora,-0.7393,-90.3518,71.82,75,86,12.06,EC,1595624400
207,Najrān,17.4924,44.1277,89.29,25,100,6.85,SA,1595624400
208,Steinbach am Taunus,50.1667,8.5667,73.09,49,29,4.94,DE,1595624400
209,Nizwá,22.9333,57.5333,84.24,58,13,5.93,OM,1595624400
210,Tsiroanomandidy,-18.7667,46.0333,56.14,64,0,5.41,MG,1595624400
211,Yacuiba,-22.038,-63.6797,54.37,45,69,9.42,BO,1595624400
212,Darnah,32.767,22.6367,77.16,71,0,13.65,LY,1595624400
213,Pahlgām,34.0333,75.3333,59.45,65,32,2.77,IN,1595624400
214,Chokurdakh,70.6333,147.9167,70.7,68,13,6.89,RU,1595624400
215,Aldan,58.6031,125.3894,59.27,94,97,2.98,RU,1595624400
216,Issoire,45.55,3.25,71.33,55,22,2.26,FR,1595624400
217,Hong Kong,22.2855,114.1577,84.6,80,96,10.45,HK,1595624400
218,Jaca,42.569,-0.5499,70.84,59,43,4.43,ES,1595624400
219,Amantea,39.1332,16.0746,77.83,68,0,2.17,IT,1595624400
220,Tiznit Province,29.5833,-9.5,83.34,37,0,2.51,MA,1595624400
221,Segezha,63.7415,34.3222,56.97,77,10,7.61,RU,1595624400
222,Laas,46.6166,10.7002,61.43,66,87,6.53,IT,1595624400
223,Verin Getashen,40.1333,45.2507,62.58,68,65,4.63,AM,1595624400
224,Hokitika,-42.7167,170.9667,45.19,80,75,5.03,NZ,1595624400
225,Ploemeur,47.7333,-3.4333,64.58,85,87,9.55,FR,1595624400
226,Faanui,-16.4833,-151.75,77.4,78,0,21.68,PF,1595624400
227,Haines Junction,60.7522,-137.5108,59.63,61,88,8.03,CA,1595624400
228,Tongling,30.95,117.7833,69.31,93,100,1.23,CN,1595624400
229,Baykit,61.67,96.37,50.47,89,77,3.24,RU,1595624400
230,Saldanha,-33.0117,17.9442,61.02,57,0,0.65,ZA,1595624400
231,Neuquén,-38.9516,-68.0591,47.61,49,26,28.19,AR,1595624400
232,College,64.8569,-147.8028,60.94,73,87,6.85,US,1595624400
233,Shache,38.4167,77.2406,78.94,21,43,6.15,CN,1595624400
234,Mwinilunga,-11.7358,24.4293,56.37,43,0,4.45,ZM,1595624400
235,Caxito,-8.5785,13.6643,69.57,88,16,2.39,AO,1595624400
236,Beringovskiy,63.05,179.3167,56.37,64,64,6.44,RU,1595624400
237,Hope,33.6671,-93.5916,93.42,54,2,9.35,US,1595624400
238,Sibu,2.3,111.8167,74.05,98,68,1.72,MY,1595624400
239,Esperance,-33.8667,121.9,49.3,85,3,14.63,AU,1595624400
240,Ajdabiya,30.7554,20.2263,75.81,81,0,10.45,LY,1595624400
241,Akranes,64.3218,-22.0749,50.86,61,12,18.86,IS,1595624400
242,Rafai,4.95,23.9167,71.55,92,98,1.54,CF,1595624400
243,Mandiana,10.6333,-8.6833,78.73,87,96,3.0,GN,1595624400
244,Modra,48.334,17.3071,65.59,89,87,3.06,SK,1595624400
245,Tianpeng,30.9866,103.9393,75.79,82,69,2.33,CN,1595624400
246,Pathein,16.7833,94.7333,80.22,85,66,5.1,MM,1595624400
247,Akure,7.2526,5.1931,71.73,97,79,3.89,NG,1595624400
248,La Ronge,55.1001,-105.2842,73.45,63,38,11.41,CA,1595624400
249,Yaksatovo,46.2434,48.0151,78.42,29,39,7.09,RU,1595624400
250,Örnsköldsvik,63.2909,18.7153,53.19,89,93,8.16,SE,1595624400
251,San Jose,37.3394,-121.895,86.85,40,1,6.76,US,1595624400
252,Guarujá,-23.9931,-46.2564,75.74,78,0,2.37,BR,1595624400
253,Diffa,13.3154,12.6113,91.09,41,23,6.51,NE,1595624400
254,Waycross,31.2136,-82.354,92.95,46,33,9.28,US,1595624400
255,Lewisporte,49.2499,-55.0482,69.08,69,86,5.44,CA,1595624400
256,Jalu,29.0331,21.5482,83.79,34,0,16.73,LY,1595624400
257,Faya,18.3851,42.4509,69.31,72,87,6.67,SA,1595624400
258,Nantucket,41.2835,-70.0995,75.47,81,87,8.81,US,1595624400
259,Pital,2.2665,-75.8044,75.43,70,93,2.8,CO,1595624400
260,Auki,-8.7676,160.7034,81.03,83,53,5.35,SB,1595624400
261,Karabulak,43.3036,44.8964,72.66,60,56,5.7,RU,1595624400
262,Ābdānān,32.9926,47.4198,85.39,14,3,4.94,IR,1595624400
263,Bandarbeyla,9.4942,50.8122,76.95,74,22,27.18,SO,1595624400
264,Los Llanos de Aridane,28.6585,-17.9182,71.37,73,14,12.86,ES,1595624400
265,Yulara,-25.2406,130.9889,45.61,62,0,10.09,AU,1595624400
266,Tasiilaq,65.6145,-37.6368,41.47,78,61,1.92,GL,1595624400
267,Sørland,67.667,12.6934,53.28,87,59,2.86,NO,1595624400
268,Notre-Dame-du-Lac,47.6136,-68.7964,80.04,35,30,6.78,CA,1595624400
269,Ugoofaaru,5.6667,73.0,82.47,78,100,17.72,MV,1595624400
270,Kristinehamn,59.3098,14.1081,58.53,64,53,6.91,SE,1595624400
271,Payakumbuh,-0.2202,100.6308,69.66,90,55,1.19,ID,1595624400
272,Launceston,-41.45,147.1667,40.08,86,95,1.66,AU,1595624400
273,Bethel,41.3712,-73.414,81.27,62,49,2.51,US,1595624400
274,Balkanabat,39.5108,54.3671,91.85,30,28,7.27,TM,1595624400
275,Airai,-8.9266,125.4092,51.76,87,38,3.06,TL,1595624400
276,Henties Bay,-22.116,14.2845,71.85,31,0,12.24,NA,1595624400
277,Chu,43.5983,73.7614,75.45,64,52,8.57,KZ,1595624400
278,Lapua,62.9693,23.0088,51.93,98,99,10.4,FI,1595624400
279,Hualmay,-11.0964,-77.6139,66.67,69,73,13.87,PE,1595624400
280,Ljungby,56.8332,13.9408,56.23,93,37,6.11,SE,1595624400
281,Kenda,23.2,86.5333,80.15,82,98,3.58,IN,1595624400
282,Xai-Xai,-25.0519,33.6442,64.24,80,25,7.11,MZ,1595624400
283,Chapais,49.7834,-74.8492,80.22,35,53,7.99,CA,1595624400
284,Chernyshevskiy,63.0128,112.4714,54.41,85,62,5.01,RU,1595624400
285,Devrek,41.2192,31.9558,65.25,75,0,3.6,TR,1595624400
286,Sisimiut,66.9395,-53.6735,49.23,82,93,5.41,GL,1595624400
287,Asău,46.4333,26.4,62.58,88,60,2.33,RO,1595624400
288,Nhulunbuy,-12.2333,136.7667,73.98,84,0,11.56,AU,1595624400
289,Pindamonhangaba,-22.9239,-45.4617,74.55,41,0,2.19,BR,1595624400
290,Podor,16.6527,-14.9587,94.19,47,40,18.77,MR,1595624400
291,Burgersdorp,-30.9977,26.3286,43.97,49,0,1.97,ZA,1595624400
292,Waingapu,-9.6567,120.2641,69.98,79,23,8.88,ID,1595624400
293,Port Augusta,-32.5,137.7667,44.15,88,38,1.3,AU,1595624400
294,Sungai Raya,0.7,108.9,77.31,86,98,1.68,ID,1595624400
295,Katubao,5.8892,124.8294,79.41,73,98,3.56,PH,1595624400
296,Port Lincoln,-34.7333,135.8667,50.52,85,32,2.93,AU,1595624400
297,Kiunga,-6.1219,141.2906,73.04,98,98,3.02,PG,1595624400
298,Sumbe,-11.2061,13.8437,70.18,88,14,7.58,AO,1595624400
299,Igrim,63.1906,64.4162,53.71,72,31,4.56,RU,1595624400
300,Verkhnevilyuysk,63.4453,120.3167,64.51,80,92,4.12,RU,1595624400
301,Kavaratti,10.5669,72.642,78.94,88,100,19.37,IN,1595624400
302,Nyurba,63.2842,118.3319,62.26,83,87,2.19,RU,1595624400
303,Saint-Pierre,-21.3393,55.4781,64.45,62,53,16.35,RE,1595624400
304,Pochutla,15.7432,-96.4661,88.84,61,67,5.99,MX,1595624400
305,Tshela,-4.9833,12.9333,71.29,76,26,3.29,CD,1595624400
306,Altay,47.8667,88.1167,64.6,48,6,4.5,CN,1595624400
307,Mount Isa,-20.7333,139.5,57.69,56,0,9.66,AU,1595624400
308,Linguère,15.3953,-15.1193,97.05,39,34,7.43,SN,1595624400
309,Chokwé,-24.5333,32.9833,61.68,84,24,4.65,MZ,1595624400
310,Phan Thiet,10.9333,108.1,75.74,87,77,3.62,VN,1595624400
311,Española,35.9911,-106.0806,82.81,42,71,10.09,US,1595624400
312,Provideniya,64.3833,-173.3,49.64,74,73,4.88,RU,1595624400
313,Camocim,-2.9022,-40.8411,84.78,60,42,15.88,BR,1595624400
314,Peleduy,59.6289,112.7406,58.82,85,76,6.93,RU,1595624400
315,Port Blair,11.6667,92.75,82.11,78,51,4.05,IN,1595624400
316,Mossamedes,-15.1961,12.1522,68.32,81,0,6.08,AO,1595624400
317,Abay,49.6311,72.8539,67.95,67,45,13.11,KZ,1595624400
318,Ulaanbaatar,47.9077,106.8832,64.83,74,87,1.95,MN,1595624400
319,Suntar,62.1444,117.6319,61.7,87,90,3.13,RU,1595624400
320,Hambantota,6.1241,81.1185,80.33,81,93,15.84,LK,1595624400
321,Havre-St-Pierre,50.2334,-63.5986,67.01,70,9,21.32,CA,1595624400
322,Talakan,50.3167,130.3667,65.1,85,96,4.12,RU,1595624400
323,Lac du Bonnet,50.2536,-96.0612,91.13,75,56,14.83,CA,1595624400
324,Whitianga,-36.8333,175.7,51.33,82,57,3.29,NZ,1595624400
325,Acajutla,13.5928,-89.8275,85.01,72,23,4.59,SV,1595624400
326,Kutum,14.2,24.6667,86.4,27,30,8.1,SD,1595624400
327,Dhidhdhoo,6.8833,73.1,81.88,80,100,20.78,MV,1595624400
328,Mount Gambier,-37.8333,140.7667,39.61,94,41,3.96,AU,1595624400
329,Djebeniana,35.035,10.9081,84.47,56,0,10.6,TN,1595624400
330,Labuhan,-6.8844,112.2051,74.25,82,98,10.02,ID,1595624400
331,Camaná,-16.6228,-72.7111,62.22,74,71,13.04,PE,1595624400
332,Madimba,-10.4,40.3333,74.53,70,57,13.89,TZ,1595624400
333,Dwārka,22.2394,68.9678,84.49,80,39,14.85,IN,1595624400
334,Blagoveshchenka,52.8333,79.8667,61.29,94,100,10.87,RU,1595624400
335,Felanitx,39.4696,3.1483,79.23,63,17,6.26,ES,1595624400
336,Sungai Padi,6.0851,101.8766,76.39,90,56,2.53,TH,1595624400
337,Srednekolymsk,67.45,153.6833,81.3,40,0,6.82,RU,1595624400
338,Bintulu,3.1667,113.0333,76.23,95,69,4.52,MY,1595624400
339,Eskişehir,39.7767,30.5206,68.85,57,0,4.81,TR,1595624400
340,Nagato,34.3833,131.2,74.07,84,68,13.31,JP,1595624400
341,Lorengau,-2.0226,147.2712,82.65,79,93,9.69,PG,1595624400
342,Allāpalli,19.4167,80.0667,75.22,92,91,2.55,IN,1595624400
343,Tateyama,34.9833,139.8667,77.36,95,96,8.97,JP,1595624400
344,Safi,32.2994,-9.2372,75.2,75,0,19.24,MA,1595624400
345,Wasilla,61.5814,-149.4394,55.71,79,69,2.8,US,1595624400
346,Arraial do Cabo,-22.9661,-42.0278,75.7,75,0,25.17,BR,1595624400
347,Poum,-20.2333,164.0167,74.01,83,15,15.08,NC,1595624400
348,Manado,1.487,124.8455,77.07,84,85,3.18,ID,1595624400
349,Nouadhibou,20.931,-17.0347,75.02,77,13,12.62,MR,1595624400
350,Al Bardīyah,31.7561,25.0865,75.56,79,0,16.2,LY,1595624400
351,Katsuura,35.1333,140.3,77.47,91,92,9.64,JP,1595624400
352,Dabakala,8.3667,-4.4333,76.08,90,54,3.33,CI,1595624400
353,Marathon,44.9,-89.7668,77.79,67,87,9.17,US,1595624400
354,Mahabalipuram,12.6264,80.1722,84.65,80,69,13.02,IN,1595624400
355,Maïné Soroa,13.2114,12.0241,91.9,39,22,5.01,NE,1595624400
356,Mutsu,41.2894,141.2169,68.79,96,95,3.09,JP,1595624400
357,Laguna,38.421,-121.4238,93.49,35,1,9.1,US,1595624400
